"rr","n","br","br_guess","p_exp","method","target","n_sim","n_valid","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
1,50,0.3,0.01,0.5,"dipietrantonj","population",1000,1000,0,-0.00611523145505877,0.0208119374291226,0.658131247969365,0.0147236257400067,0.645721848088531,0.981144490678535,0.0219500355319593,0.657830524428525,0.954,0.00662449998113065,2.52123127249788,"05_rr_to_or",1000
2,50,0.3,0.01,0.5,"dipietrantonj","population",1000,1000,0,0.0895892286235207,0.0205760761732242,0.650672660165097,0.0145567631944007,0.624046075482184,0.959078371794266,0.0214563752218176,0.656488968422924,0.957,0.00641490451994416,2.43684595830878,"05_rr_to_or",1000
0.25,100,0.3,0.01,0.5,"dipietrantonj","population",1000,1000,0,-0.162169165663992,0.0239700637756057,0.757999971904092,0.0169578756998497,0.693646236247403,0.915100609443253,0.0204725105052628,0.774782699691567,0.958,0.00634318531969546,2.65313021509552,"05_rr_to_or",1000
0.5,100,0.3,0.01,0.5,"dipietrantonj","population",1000,1000,0,-0.0256386743544302,0.0166677712640614,0.527081207131377,0.0117917914585247,0.524445891138229,0.995000170832328,0.0222600129864369,0.527441111343068,0.965,0.00581162627841812,2.04019723525912,"05_rr_to_or",1000
0.75,100,0.3,0.01,0.5,"dipietrantonj","population",1000,1000,0,-0.0174042949597248,0.0146533895897404,0.4633808654538,0.0103666957906544,0.469659294154699,1.01354917556803,0.0226749888813222,0.463476012459425,0.95,0.00689202437604511,1.83685606169119,"05_rr_to_or",1000
1,100,0.3,0.01,0.5,"dipietrantonj","population",1000,1000,0,0.0152215334087289,0.0142337506566973,0.450110717220809,0.0100698177793158,0.445349796920116,0.989422779510586,0.022135236321174,0.450143036354653,0.951,0.00682634602111555,1.74330763706207,"05_rr_to_or",1000
2,100,0.3,0.01,0.5,"dipietrantonj","population",1000,1000,0,0.0473561213133654,0.0131750543856943,0.416631801553844,0.00932083188025301,0.430054080267407,1.03221616464107,0.0230926043062883,0.419107478141087,0.965,0.00581162627841812,1.68440667964012,"05_rr_to_or",1000
0.25,300,0.3,0.01,0.5,"dipietrantonj","population",1000,1000,0,-0.00861102217649473,0.0123443792592589,0.390363547602003,0.0087331619569304,0.36936799226805,0.946215379322869,0.0211686060456393,0.390263328151709,0.946,0.00714730718522718,1.43692037102735,"05_rr_to_or",1000
0.5,300,0.3,0.01,0.5,"dipietrantonj","population",1000,1000,0,8.60244990653224e-05,0.00927877671938882,0.293420683334137,0.00656436894482476,0.293111768798842,0.998947195774392,0.0223483153094351,0.293273948913091,0.957,0.00641490451994416,1.14715990924778,"05_rr_to_or",1000
0.75,300,0.3,0.01,0.5,"dipietrantonj","population",1000,1000,0,-0.00874513271458743,0.00854408743422302,0.270187768197688,0.00604460522235472,0.267335098398967,0.989441898803377,0.0221356640554783,0.270194200529471,0.947,0.00708456067798138,1.0471606950495,"05_rr_to_or",1000
