"response","n","k","shape","method","target","n_sim","n_valid","n_valid_se","n_valid_ci","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
"cont_kurt8",1000,8,"congeneric","omega","centred",1000,1000,1000,1000,0,-1.06380184134868e-16,0.00292958651639454,0.0926416599432494,0.00207256703453301,0.0478570253511981,0.516582122778396,0.0115569073239345,0.0925953275272766,0.68,0.0147512711316686,0.187596092191137,"11a_alpha_vs_omega",1000
"cont_normal",1000,8,"congeneric","omega","centred",1000,1000,1000,1000,0,9.32606068583595e-17,0.00147227582703819,0.0465574495744881,0.00104157713990798,0.0478570253511981,1.0279133798906,0.0229963429716363,0.046534165027108,0.961,0.00612200947402077,0.187596092191137,"11a_alpha_vs_omega",1000
"lik5_sev",1000,8,"congeneric","omega","centred",1000,1000,1000,1000,0,5.79429557177706e-17,0.00188473352311528,0.059600507155179,0.00133337470903417,0.0478570253511981,0.802963391344893,0.0179637914072104,0.0595706994478106,0.883,0.010164201887015,0.187596092191137,"11a_alpha_vs_omega",1000
"lik5_skew",1000,8,"congeneric","omega","centred",1000,1000,1000,1000,0,9.79239679252918e-17,0.00155191289458881,0.0490757947708545,0.00109791722749666,0.0478570253511981,0.975165569394299,0.0218162758911739,0.0490512507359255,0.944,0.00727076337120113,0.187596092191137,"11a_alpha_vs_omega",1000
"lik5_sym",1000,8,"congeneric","omega","centred",1000,1000,1000,1000,0,3.90843634583485e-17,0.00145843889532778,0.0461198873741568,0.00103178805589847,0.0478570253511981,1.03766570293089,0.0232145206603329,0.0460968216625996,0.958,0.00634318531969546,0.187596092191137,"11a_alpha_vs_omega",1000
"lik7_skew",1000,8,"congeneric","omega","centred",1000,1000,1000,1000,0,-2.73083489957422e-17,0.00156427765944464,0.0494668029676225,0.00110666481145996,0.0478570253511981,0.96745741548169,0.0216438300854082,0.0494420633796947,0.94,0.00750999334220744,0.187596092191137,"11a_alpha_vs_omega",1000
"bin_10",200,20,"congeneric","omega","centred",1000,1000,1000,1000,0,-8.96951783679878e-17,0.00562973194436959,0.178027755604163,0.00398281353899654,0.103114704148291,0.579205774955464,0.0129579154358764,0.177938719461757,0.728,0.0140718158032288,0.404202212814306,"11a_alpha_vs_omega",1000
"cont_kurt8",200,20,"congeneric","omega","centred",1000,1000,1000,1000,0,8.52754959744864e-17,0.0069585406471244,0.220048376357751,0.00492289334108397,0.103114704148291,0.468600158997078,0.0104834611395048,0.219938324649763,0.652,0.0150630674166984,0.404202212814306,"11a_alpha_vs_omega",1000
"cont_normal",200,20,"congeneric","omega","centred",1000,1000,1000,1000,0,1.6743270452816e-16,0.00323164587036529,0.102193615414316,0.0022862621263177,0.103114704148291,1.00901317298778,0.0225735100280487,0.102142505826015,0.952,0.00675988165576884,0.404202212814306,"11a_alpha_vs_omega",1000
"lik5_sev",200,20,"congeneric","omega","centred",1000,1000,1000,1000,0,1.15021775199016e-16,0.00430986376376321,0.136289858985176,0.00304905880407221,0.103114704148291,0.756583834748163,0.0169261940656092,0.136221697010928,0.863,0.0108734079294396,0.404202212814306,"11a_alpha_vs_omega",1000
"lik5_skew",200,20,"congeneric","omega","centred",1000,1000,1000,1000,0,-2.16710756717492e-16,0.00331926946167496,0.104964516667338,0.00234825236479658,0.103114704148291,0.982376782385328,0.0219776041999861,0.104912021281876,0.956,0.00648567652600714,0.404202212814306,"11a_alpha_vs_omega",1000
