"rho","n","p_exp","method","target","n_sim","n_valid","n_valid_se","n_valid_ci","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
0.25,300,0.3,"viechtbauer","own",1000,1000,1000,1000,0,0.00447421714365564,0.00186919538020747,0.0591091479332001,0.00132238208513029,0.057831493196624,0.978384822294851,0.0218882965937562,0.0592487645193393,0.943,0.00733150734842434,0.226695287675112,"01b_smd_to_cor_z",1000
0.5,300,0.3,"viechtbauer","own",1000,1000,1000,1000,0,0.00108649189862033,0.00188774476751268,0.059695731064051,0.00133550504580219,0.057831493196624,0.968771001976227,0.0216732174697367,0.0596757672058768,0.935,0.0077958322198467,0.226695287675112,"01b_smd_to_cor_z",1000
0.75,300,0.3,"viechtbauer","own",1000,1000,1000,1000,0,0.00414437715691552,0.00199788022198498,0.0631785199367535,0.0014134215405004,0.057831493196624,0.915366381715142,0.0204784563275823,0.0632827758401615,0.925,0.00832916562447884,0.226695287675112,"01b_smd_to_cor_z",1000
0,25,0.5,"viechtbauer","own",1000,1000,1000,1000,0,-0.00310015697528932,0.00657585362181617,0.207946750048066,0.00465215734856122,0.204124145231932,0.981617386108458,0.0219606150863352,0.207865870161431,0.937,0.00768316341099159,0.800151946059218,"01b_smd_to_cor_z",1000
0.1,25,0.5,"viechtbauer","own",1000,1000,1000,1000,0,0.00275597573784584,0.00668520923475855,0.211404878166283,0.0047295221361028,0.204124145231932,0.965560241572928,0.0216013867601862,0.211317121625901,0.938,0.00762600813007697,0.800151946059218,"01b_smd_to_cor_z",1000
0.25,25,0.5,"viechtbauer","own",1000,1000,1000,1000,0,0.0149577038617477,0.00670498749007272,0.212030321515654,0.00474351447247359,0.204124145231932,0.962712048789971,0.0215376673657629,0.212451484554957,0.941,0.00745110730026082,0.800151946059218,"01b_smd_to_cor_z",1000
0.5,25,0.5,"viechtbauer","own",1000,1000,1000,1000,0,0.027030133570453,0.00677741265699223,0.214320606389489,0.00479475242451491,0.204124145231932,0.952424261346911,0.0213075103378575,0.215912058768545,0.932,0.00796090447122687,0.800151946059218,"01b_smd_to_cor_z",1000
0.75,25,0.5,"viechtbauer","own",1000,1000,1000,1000,0,0.042822654154553,0.00734967548657003,0.232417146006676,0.00519960582926474,0.204124145231932,0.878266292909683,0.0196484580192236,0.236214926998636,0.903,0.00935900635751467,0.800151946059218,"01b_smd_to_cor_z",1000
0,50,0.5,"viechtbauer","own",1000,1000,1000,1000,0,0.00917052310870859,0.00457117891245448,0.144553369554876,0.00323392897594485,0.142857142857143,0.988265740861274,0.0221093512046539,0.144771818621948,0.945,0.00720936890441875,0.559989709868587,"01b_smd_to_cor_z",1000
0.1,50,0.5,"viechtbauer","own",1000,1000,1000,1000,0,0.000565580651932017,0.00469693441397761,0.148530107685975,0.0033228960385011,0.142857142857143,0.961805960305196,0.0215173964733257,0.148456901415164,0.942,0.00739161687318817,0.559989709868587,"01b_smd_to_cor_z",1000
0.25,50,0.5,"viechtbauer","own",1000,1000,1000,1000,0,0.00110188211942196,0.00446637920235317,0.141239311734421,0.00315978731016059,0.142857142857143,1.01145453842032,0.0226281279344836,0.141172974680846,0.957,0.00641490451994416,0.559989709868587,"01b_smd_to_cor_z",1000
0.5,50,0.5,"viechtbauer","own",1000,1000,1000,1000,0,0.00978640386982249,0.00470078132046177,0.148651757550331,0.00332561757327038,0.142857142857143,0.961018861877728,0.0214997876108043,0.148899366615452,0.946,0.00714730718522718,0.559989709868587,"01b_smd_to_cor_z",1000
0.75,50,0.5,"viechtbauer","own",1000,1000,1000,1000,0,0.0159853465477687,0.00478440356346789,0.151296125059845,0.00338477701547777,0.142857142857143,0.94422208632664,0.0211240123568315,0.152063007483472,0.943,0.00733150734842434,0.559989709868587,"01b_smd_to_cor_z",1000
