"delta","n","r_cov","r_cov_guess","p_exp","method","target","n_sim","n_valid","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
0.3,300,0,0.3,0.15,"ancova_md_sd","own",1000,1000,0,-0.00312982517273467,0.00480932259280556,0.152084133957721,0.00340240624692351,0.154799519035588,1.01785449282054,0.0227713068727769,0.152040290789909,0.954,0.00662449998113065,0.609282703365665,"07a_ancova_to_smd_d",1000
0.8,300,0,0.3,0.15,"ancova_md_sd","own",1000,1000,0,0.00343231517000518,0.00502306142065734,0.158843149161983,0.00355361804631099,0.157519132444212,0.991664628126824,0.0221853906636294,0.15880080502657,0.947,0.00708456067798138,0.619969478996656,"07a_ancova_to_smd_d",1000
0,100,0.3,0.3,0.15,"ancova_md_sd","own",1000,1000,0,0.00040382643686966,0.00851262063386396,0.269192700599564,0.00602234370089378,0.267832990988259,0.994948935805925,0.0222588667631632,0.269058373632603,0.952,0.00675988165576884,1.06314196658607,"07a_ancova_to_smd_d",1000
0.3,100,0.3,0.3,0.15,"ancova_md_sd","own",1000,1000,0,0.00330630754948195,0.00837010414734642,0.264685933584363,0.0059215189018374,0.268667946589418,1.01504429400962,0.0227084374745001,0.264574217306978,0.951,0.00682634602111555,1.06644062765599,"07a_ancova_to_smd_d",1000
0.8,100,0.3,0.3,0.15,"ancova_md_sd","own",1000,1000,0,0.0273516567804699,0.00922451134405776,0.291704661492836,0.00652597832983581,0.274262894736292,0.940207445889675,0.0210341973488723,0.292838916566344,0.946,0.00714730718522718,1.08852027002958,"07a_ancova_to_smd_d",1000
0,300,0.3,0.3,0.15,"ancova_md_sd","own",1000,1000,0,-0.00604747789443489,0.00466853320515702,0.147631982604223,0.0033028033022692,0.154360615567334,1.04557706835889,0.0233915126873999,0.147682020145479,0.959,0.00627048642451286,0.607557951796253,"07a_ancova_to_smd_d",1000
0.3,300,0.3,0.3,0.15,"ancova_md_sd","own",1000,1000,0,0.00868606289810185,0.00503649693554286,0.159268017447737,0.00356312314373272,0.15489317729987,0.972531584068332,0.0217573487178116,0.159425163537695,0.948,0.00702111102319284,0.609650413786398,"07a_ancova_to_smd_d",1000
0.8,300,0.3,0.3,0.15,"ancova_md_sd","own",1000,1000,0,0.0061660575605929,0.00495837108780316,0.156797461217847,0.00350785218461814,0.157844725255998,1.00667908797768,0.0225212921851184,0.156840296691757,0.958,0.00634318531969546,0.621248622513057,"07a_ancova_to_smd_d",1000
0,100,0.5,0.3,0.15,"ancova_md_sd","own",1000,1000,0,0.00930301353318131,0.00857539695288651,0.27117786211189,0.00606675547321296,0.267843800053772,0.987705257235409,0.0220968121386757,0.271201846467671,0.95,0.00689202437604511,1.06318453764851,"07a_ancova_to_smd_d",1000
0.3,100,0.5,0.3,0.15,"ancova_md_sd","own",1000,1000,0,0.00440922722533168,0.00872623138089671,0.275947665532699,0.00617346488814819,0.268911828559153,0.974503002371973,0.0218014530288732,0.275844898962367,0.944,0.00727076337120113,1.06740032060963,"07a_ancova_to_smd_d",1000
0.8,100,0.5,0.3,0.15,"ancova_md_sd","own",1000,1000,0,0.000418472874924436,0.00886268337856329,0.280262656571763,0.00626999930028358,0.27504771811386,0.981392674565733,0.0219555878692493,0.280122802769679,0.949,0.00695693898205238,1.09163191956137,"07a_ancova_to_smd_d",1000
0,300,0.5,0.3,0.15,"ancova_md_sd","own",1000,1000,0,0.00573474483225316,0.00502075153223089,0.158770104076299,0.00355198389125897,0.15437900024087,0.972343005876478,0.0217531298713001,0.158794286108605,0.952,0.00675988165576884,0.607630176506504,"07a_ancova_to_smd_d",1000
0.3,300,0.5,0.3,0.15,"ancova_md_sd","own",1000,1000,0,-0.00505985654573874,0.00488690014018869,0.154537351407924,0.00345728930513886,0.154942189300993,1.00261967666315,0.0224304755689734,0.154542917454859,0.947,0.00708456067798138,0.609843177788052,"07a_ancova_to_smd_d",1000
0.8,300,0.5,0.3,0.15,"ancova_md_sd","own",1000,1000,0,0.00528470134208529,0.00507462777058119,0.16047382032579,0.00359009920716604,0.158567078536888,0.988118050751018,0.0221060471009275,0.160480600794049,0.953,0.00669260786241059,0.624086322798602,"07a_ancova_to_smd_d",1000
0,100,0.7,0.3,0.15,"ancova_md_sd","own",1000,1000,0,0.0161436920558598,0.00838092650814084,0.265028166682068,0.00592917529569805,0.267814675773383,1.0105140111189,0.0226070865813686,0.265387090867128,0.958,0.00634318531969546,1.06306882992166,"07a_ancova_to_smd_d",1000
