"or_true","br","n","p_exp","rr","method","target","n_sim","n_valid","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
2,0.1,300,0.5,1.81818181818182,"balanced_4_over_sqrtN","population",1000,1000,0,-0.400813911777008,0,0,0,NA,NA,NA,0.400813911777008,NA,NA,NA,"06_or_se_imputation",1000
2,0.1,1000,0.5,1.81818181818182,"balanced_4_over_sqrtN","population",1000,1000,0,-0.400813911777008,0,0,0,NA,NA,NA,0.400813911777008,NA,NA,NA,"06_or_se_imputation",1000
2,0.02,300,0.25,1.96078431372549,"balanced_4_over_sqrtN","population",1000,1000,0,-1.19398299304672,2.51564915296804e-05,0.000795518111725233,1.77972265905606e-05,NA,NA,NA,1.19398325779762,NA,NA,NA,"06_or_se_imputation",1000
2,0.02,1000,0.25,1.96078431372549,"balanced_4_over_sqrtN","population",1000,1000,0,-1.1937803344938,0,0,0,NA,NA,NA,1.1937803344938,NA,NA,NA,"06_or_se_imputation",1000
2,0.02,300,0.5,1.96078431372549,"balanced_4_over_sqrtN","population",1000,1000,0,-1.13600572984666,2.45692447320223e-05,0.000776947737432838,1.73817726187628e-05,NA,NA,NA,1.13600599526964,NA,NA,NA,"06_or_se_imputation",1000
2,0.02,1000,0.5,1.96078431372549,"balanced_4_over_sqrtN","population",1000,1000,0,-1.13581303810782,0,0,0,NA,NA,NA,1.13581303810782,NA,NA,NA,"06_or_se_imputation",1000
4,0.3,50,0.25,2.10526315789474,"balanced_4_over_sqrtN","population",1000,1000,0,-0.206370423989059,3.3932116777065e-05,0.00107302774846337,2.40056356931288e-05,NA,NA,NA,0.206373210796809,NA,NA,NA,"06_or_se_imputation",1000
4,0.3,100,0.25,2.10526315789474,"balanced_4_over_sqrtN","population",1000,1000,0,-0.193049446753309,0,0,0,NA,NA,NA,0.193049446753309,NA,NA,NA,"06_or_se_imputation",1000
4,0.3,300,0.25,2.10526315789474,"balanced_4_over_sqrtN","population",1000,1000,0,-0.193049446753309,0,0,0,NA,NA,NA,0.193049446753309,NA,NA,NA,"06_or_se_imputation",1000
4,0.3,1000,0.25,2.10526315789474,"balanced_4_over_sqrtN","population",1000,1000,0,-0.193049446753309,0,0,0,NA,NA,NA,0.193049446753309,NA,NA,NA,"06_or_se_imputation",1000
4,0.3,50,0.5,2.10526315789474,"balanced_4_over_sqrtN","population",1000,1000,0,-0.0621875086692681,0,0,0,NA,NA,NA,0.0621875086692681,NA,NA,NA,"06_or_se_imputation",1000
4,0.3,100,0.5,2.10526315789474,"balanced_4_over_sqrtN","population",1000,1000,0,-0.062187508669268,0,0,0,NA,NA,NA,0.062187508669268,NA,NA,NA,"06_or_se_imputation",1000
4,0.3,300,0.5,2.10526315789474,"balanced_4_over_sqrtN","population",1000,1000,0,-0.0621875086692685,0,0,0,NA,NA,NA,0.0621875086692685,NA,NA,NA,"06_or_se_imputation",1000
4,0.3,1000,0.5,2.10526315789474,"balanced_4_over_sqrtN","population",1000,1000,0,-0.0621875086692683,0,0,0,NA,NA,NA,0.0621875086692683,NA,NA,NA,"06_or_se_imputation",1000
4,0.1,50,0.25,3.07692307692308,"balanced_4_over_sqrtN","population",1000,1000,0,-0.380154507174846,0.000109198183566419,0.00345314976423053,7.72534124608067e-05,NA,NA,NA,0.380170174585541,NA,NA,NA,"06_or_se_imputation",1000
4,0.1,100,0.25,3.07692307692308,"balanced_4_over_sqrtN","population",1000,1000,0,-0.370858430935513,0,0,0,NA,NA,NA,0.370858430935513,NA,NA,NA,"06_or_se_imputation",1000
