"rho","n","p_exp","p_case","method","target","n_sim","n_valid","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
0.25,100,0.3,0.3,"phi (r)","population",1000,1000,0,-0.102228809341668,0.00325343000597357,0.102882490268117,0.00230167354396482,0.0979350983853033,0.951912207121732,0.0212960547280632,0.144999832608112,0.80641925777332,0.0125130719399262,0.383246105634982,"03b_2x2_to_cor_CONT",1000
0.5,100,0.3,0.3,"phi (r)","population",1000,1000,0,-0.180445124840197,0.00327420965028887,0.103539600318162,0.00231637432359915,0.0947137909224833,0.914759093442911,0.02046487015421,0.208014834720519,0.469,0.0157809695519635,0.371749889338621,"03b_2x2_to_cor_CONT",1000
0.75,100,0.3,0.3,"phi (r)","population",1000,1000,0,-0.226329462185798,0.00303349652230058,0.0959275828466959,0.0021460792696535,0.0865519084584148,0.902262997669142,0.0201853091427067,0.245800578727902,0.166166166166166,0.0117768274612842,0.342799357416622,"03b_2x2_to_cor_CONT",1000
0,300,0.3,0.3,"phi (r)","population",1000,1000,0,0.00130717833065635,0.00179405637239907,0.056733043875203,0.00126922419758551,0.0575064998759868,1.01363325406063,0.022676869874303,0.0567197350510958,0.953,0.00669260786241059,0.22521914158139,"03b_2x2_to_cor_CONT",1000
0.1,300,0.3,0.3,"phi (r)","population",1000,1000,0,-0.0401993019246985,0.00186827490568891,0.0590800399731322,0.00132173088567514,0.0574286604123494,0.972048435283154,0.0217465397767202,0.0714348972655295,0.894684052156469,0.00972152369963046,0.22492390599273,"03b_2x2_to_cor_CONT",1000
0.25,300,0.3,0.3,"phi (r)","population",1000,1000,0,-0.0984836641128448,0.00190016148047055,0.0600883820040448,0.00134428938100094,0.0570475010875793,0.949393196903507,0.021239699762693,0.115351788609036,0.577577577577578,0.0156277300143878,0.223479487657418,"03b_2x2_to_cor_CONT",1000
0.5,300,0.3,0.3,"phi (r)","population",1000,1000,0,-0.183352166025822,0.00194691150422536,0.0615667475613668,0.00137736318085482,0.0552790150233827,0.897871289502231,0.0200870584250749,0.193402923264465,0.086,0.00886588969026798,0.216754970878758,"03b_2x2_to_cor_CONT",1000
0.75,300,0.3,0.3,"phi (r)","population",1000,1000,0,-0.223949328664967,0.00169637484712833,0.0536440828234548,0.00120011836711214,0.05031613648872,0.937962471169704,0.0209839730696352,0.230278335376642,0.002,0.00141279864099595,0.19787391999358,"03b_2x2_to_cor_CONT",1000
0,25,0.5,0.3,"phi (r)","population",1000,998,0.002,-0.00331006057041969,0.00657782674557454,0.207801032445477,0.0046535579234327,0.189892601451006,0.913819335815043,0.0204643411090072,0.207723272123494,0.960251046025105,0.00631867910902604,0.740274562757065,"03b_2x2_to_cor_CONT",1000
0.1,25,0.5,0.3,"phi (r)","population",1000,1000,0,-0.0411526645792097,0.00645404778509981,0.204094911284803,0.00456598451823883,0.189855032468621,0.930229133462758,0.0208109638553342,0.208102426419079,0.956382978723404,0.00666162212144203,0.740257660722135,"03b_2x2_to_cor_CONT",1000
0.25,25,0.5,0.3,"phi (r)","population",1000,1000,0,-0.0971324299395944,0.00626634525392145,0.19815923607378,0.00443319237291675,0.188881896652259,0.953182402166373,0.0213244713645804,0.220595840179439,0.920738327904452,0.008901637628994,0.738019205457103,"03b_2x2_to_cor_CONT",1000
0.5,25,0.5,0.3,"phi (r)","population",1000,999,0.001,-0.181006513068765,0.00577389925708906,0.182495410129632,0.00408480827904375,0.184236217433803,1.00953891006319,0.0225965841821099,0.256971972360926,0.797219003476246,0.013686646483813,0.7266504359062,"03b_2x2_to_cor_CONT",1000
0,50,0.5,0.3,"phi (r)","population",1000,1000,0,-0.000402204799383167,0.00457783307556969,0.144763792668539,0.00323863653417459,0.137796138346051,0.951868805078615,0.0212950837432617,0.144691951679465,0.946992864424057,0.00715329305872994,0.537941189066835,"03b_2x2_to_cor_CONT",1000
