"q","r_true","r_guess","delta","n","imb_std","method","target","n_sim","n_valid","n_valid_se","n_valid_ci","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
1.4,0.5,0.2,0,50,0,"bonett","own",1000,1000,1000,1000,0,-0.00201505455915306,0.00562764588718322,0.177961788683779,0.00398133773572791,0.225427430864825,1.26671816760275,0.0283388522812067,0.177884199068312,0.988,0.00344325427466518,0.89433847938347,"08b_pre_post_to_smd_g",1000
0.5,0.8,0.2,0,50,0,"bonett","own",1000,1000,1000,1000,0,-0.000988407383735285,0.00829316276438311,0.262252833419489,0.00586708590488417,0.417125589686915,1.59054750428453,0.0355835196202038,0.262123537739498,0.999,0.000999499874937461,1.65322327189895,"08b_pre_post_to_smd_g",1000
0.7,0.8,0.2,0,50,0,"bonett","own",1000,1000,1000,1000,0,0.00523436119817956,0.00550646925366324,0.174129847072633,0.00389561004187632,0.319666822557083,1.83579568885594,0.0410701797570488,0.174121454666132,1,0,1.26752454566449,"08b_pre_post_to_smd_g",1000
1,0.8,0.2,0,50,0,"bonett","own",1000,1000,1000,1000,0,-0.000300092710605225,0.00389231117533327,0.123085686761801,0.00275365679934532,0.25697248758882,2.08775280334683,0.046706931191876,0.123024494532486,1,0,1.01941790539519,"08b_pre_post_to_smd_g",1000
1.4,0.8,0.2,0,50,0,"bonett","own",1000,1000,1000,1000,0,-0.00872122733294424,0.00387015607864647,0.122385081088686,0.00273798294135103,0.224083977434103,1.8309746207687,0.0409623234557371,0.122634374345874,1,0,0.889222675283025,"08b_pre_post_to_smd_g",1000
0.5,0.2,0.5,0,50,0,"bonett","own",1000,1000,1000,1000,0,0.00445023997868884,0.0127494540873085,0.40317313839638,0.00901973643781241,0.360432104765335,0.893988389700149,0.0200001907012763,0.402996073902377,0.923,0.00843036179532053,1.42341969491901,"08b_pre_post_to_smd_g",1000
0.7,0.2,0.5,0,50,0,"bonett","own",1000,1000,1000,1000,0,0.00676120164812063,0.0105928544923273,0.334975471185009,0.00749402719446631,0.263876414846596,0.787748469800212,0.0176234051830665,0.33487620336036,0.89,0.00989444288477123,1.04341938223104,"08b_pre_post_to_smd_g",1000
1,0.2,0.5,0,50,0,"bonett","own",1000,1000,1000,1000,0,-0.016093947168247,0.0079801787153801,0.252355408757977,0.00564566202179755,0.206723656588143,0.819176642995603,0.0183265121412132,0.252742129872585,0.888,0.00997276290703835,0.819276258669251,"08b_pre_post_to_smd_g",1000
1.4,0.2,0.5,0,50,0,"bonett","own",1000,1000,1000,1000,0,-0.00396886380889152,0.00690748187229594,0.218433756127795,0.00488677126961044,0.182928283398087,0.837454277401447,0.0187354169747622,0.218360583417004,0.902,0.00940191469861325,0.725833892323013,"08b_pre_post_to_smd_g",1000
0.5,0.5,0.5,0,50,0,"bonett","own",1000,1000,1000,1000,0,0.0158851381260835,0.0108180486627211,0.342096736127372,0.00765334319736134,0.360313370251232,1.05324995008744,0.0235631693885019,0.34229444095021,0.971,0.00530650544143696,1.4239995375041,"08b_pre_post_to_smd_g",1000
0.7,0.5,0.5,0,50,0,"bonett","own",1000,1000,1000,1000,0,-0.0116422274369246,0.00843671191358025,0.266792256095912,0.00596864127209941,0.262302734140356,0.98317221788498,0.0219953995783902,0.266912853314574,0.953,0.00669260786241059,1.03814600164659,"08b_pre_post_to_smd_g",1000
