or	n	br	br_guess	method	bias_ci	bias_es	bias_var
or=0.25	n=75	br=0.05	guessed br=0.01	metaumbrella	1	-0.0388462676875384	1.6974973918323
or=0.25	n=75	br=0.05	guessed br=0.01	or = rr	1	0.0388525111866122	2.52357269792598
or=0.25	n=75	br=0.05	guessed br=0.05	Di Pietrantonj	1	-0.0703239306132076	1.5485187451015
or=0.25	n=75	br=0.05	guessed br=0.05	Grant	1	0.0230214313327714	2.51553168485465
or=0.25	n=75	br=0.05	guessed br=0.05	metaumbrella	1	-0.0400108491776598	1.68507114068518
or=0.25	n=75	br=0.05	guessed br=0.05	or = rr	1	0.0389678357718811	2.53566095955041
or=0.25	n=75	br=0.05	guessed br=0.15	Di Pietrantonj	1	-0.0710793969327659	1.54183820864555
or=0.25	n=75	br=0.05	guessed br=0.15	Grant	1	-0.0157660082417422	2.64167062684269
or=0.25	n=75	br=0.05	guessed br=0.15	metaumbrella	1	-0.0397250380211238	1.69360142901722
or=0.25	n=75	br=0.05	guessed br=0.15	or = rr	1	0.0392904927878749	2.51519463650493
or=0.25	n=75	br=0.05	guessed br=0.4	Di Pietrantonj	1	-0.0692692859794104	1.53942694296225
or=0.25	n=75	br=0.05	guessed br=0.4	Grant	1	-0.130045112741358	1.67810645244847
or=0.25	n=75	br=0.05	guessed br=0.4	metaumbrella	1	-0.0402147466314609	1.68353250856519
or=0.25	n=75	br=0.05	guessed br=0.4	or = rr	1	0.0392698037310101	2.52294985728921
or=0.25	n=75	br=0.05	guessed br=0.7	Di Pietrantonj	1	-0.0699155181151614	1.53863321598019
or=0.25	n=75	br=0.05	guessed br=0.7	Grant	1	-0.676896253460773	2.01382240017179
or=0.25	n=75	br=0.05	guessed br=0.7	metaumbrella	1	-0.03961039616768	1.68605010375299
or=0.25	n=75	br=0.05	guessed br=0.7	or = rr	1	0.039152687312472	2.51226731766099
or=0.25	n=75	br=0.15	guessed br=0.01	Di Pietrantonj	1	-0.0510413541536588	1.11020051823225
or=0.25	n=75	br=0.15	guessed br=0.01	Grant	1	0.116330277723032	1.66845628313891
or=0.25	n=75	br=0.15	guessed br=0.01	metaumbrella	1	-0.0828879676771247	1.12809347046325
or=0.25	n=75	br=0.15	guessed br=0.01	or = rr	1	0.122487157437847	1.65639556820171
or=0.25	n=75	br=0.15	guessed br=0.05	Di Pietrantonj	1	-0.0503757763483868	1.0997003059619
